P01
n 10
c 165
z null
time
1 ,   92, 23,1
2 ,   57, 31,1
3 ,   49, 29,1
4 ,   68, 44,1
5 ,   60, 53,0
6 ,   43, 38,1
7 ,   67, 63,0
8 ,   84, 85,0
9 ,   87, 89,0
10,   72,82,0
-----

P02
n 5
c 26
z null
time
1,  24, 12,0
2,  13 ,  7,1
3,  23, 11,1
4,  15,  8,1
5,  16,  9,0
--------

P03
n 6
c 190
z null
time
1,50,56,1
2,50,59,1
3,64,80,0
4,46,64,0
5,50,75,1
6, 5,17,0
-----

P04
n 7
c 50
z null
time
1,70,31,1
2,20,10,0
3,39,20,0
4,37,19,1
5, 7, 4,0
6, 5, 3,0
7,10, 6,0
-----

P05
n 8
c 104
z null
time
1,350,25,1
2,400,35,0
3,450,45,1
4, 20, 5,1
5, 70,25,1
6,  8, 3,0
7,  5, 2,1
8,  5, 2,1
------

P06
n 7
c 170
z null 
time
1,442,41,0
2,525,50,1
3,511,49,0
4,593,59,1
5,546,55,0
6,564,57,0
7,617,60,1
----------

P07
n 15
c 750
z 1458
time
1 ,135, 70,1
2 ,139, 73,0
3 ,149, 77,1
4 ,150, 80,0
5 ,156, 82,1
6 ,163, 87,0
7 ,173, 90,1
8 ,184, 94,1
9 ,192, 98,1
10 ,201,106,0
11 ,210,110,0
12 ,214,113,0
13 ,221,115,0
14 ,229,118,1
15 ,240,120,1
--------

P08
n 24
c 6404180
z 13549094
time
1, 825594,382745,1
2,1677009,799601,1
3,1676628,909247,0
4,1523970,729069,1
5, 943972,467902,1
6,  97426, 44328,1
7,  69666, 34610,0
8,1296457,698150,0
9,1679693,823460,0
10,1902996,903959,1
11,1844992,853665,1
12,1049289,551830,0
13,1252836,610856,1
14,1319836,670702,0
15, 953277,488960,0
16,2067538,951111,1
17, 675367,323046,0
18, 853655,446298,0
19,1826027,931161,0
20,  65731, 31385,0
21, 901489,496951,0
22, 577243,264724,1
23, 466257,224916,1
24, 369261,169684,1
--------
